ID,Place,Cultivar,Repetition,Phenological_stage
7004,ANU,803_-WW,1,Young
7005,ANU,93-WW,1,Young
7006,ANU,705-WW,1,Young
7007,ANU,959WW,1,Young
7008,ANU,DM-WW,1,Young
7009,ANU,Lincoln,1,Young
7010,ANU,EGA-2248,1,Young
7011,ANU,Berkut,1,Young
7012,ANU,BT-schomburgk,1,Young
7013,ANU,GBA_sapphire,1,Young
7014,ANU,Frame,1,Young
7015,ANU,Young,1,Young
7016,ANU,Aroona,1,Young
7017,ANU,Westoria,1,Young
7018,ANU,Arrino,1,Young
7019,ANU,Baxter,1,Young
7020,ANU,Endure,1,Young
7021,ANU,Fang,1,Young
7022,ANU,Machete,1,Young
7023,ANU,Ventura,1,Young
7024,ANU,Clearfield_STL,1,Young
7025,ANU,Sarc_1,1,Young
7026,ANU,Yaradouka_or_Yanadouka,1,Young
7027,ANU,Annuello,1,Young
7028,ANU,EGA_-_Eagle_Rock,1,Young
7029,ANU,Krichau_ff,1,Young
7030,ANU,Ducula_4,1,Young
7031,ANU,H45,1,Young
7032,ANU,Zippy,1,Young
7033,ANU,Carnamah,1,Young
7034,ANU,Perenjori,1,Young
7035,ANU,Tamamrin_Rock_or_Tammarin_Rock,1,Young
7036,ANU,Espada,1,Young
7037,ANU,Calingiri,1,Young
7038,ANU,EGA_-_Bonnie_Rock,1,Young
7039,ANU,Stiletto,1,Young
7040,ANU,Datatine,1,Young
7041,ANU,Spear,1,Young
7042,ANU,Cranbrook,1,Young
7043,ANU,Fortune,1,Young
7044,ANU,Halgerg_or_Halberd,1,Young
7045,ANU,Ruby,1,Young
7046,ANU,Mace,1,Young
7047,ANU,Wentworth,1,Young
7048,ANU,Correli_or_Corrill,1,Young
7049,ANU,Lang,1,Young
7050,ANU,Catalina,1,Young
7051,ANU,Axe,1,Young
7052,ANU,Janz,1,Young
7053,ANU,Binno_or_Binnu,1,Young
7054,ANU,Cascades,1,Young
7055,ANU,Guardian,1,Young
7056,ANU,Sunco,1,Young
7057,ANU,Bumper,1,Young
7058,ANU,Magenta2,1,Young
7059,ANU,Hartog,1,Young
7060,ANU,Gladius,1,Young
7061,ANU,Drysdale,1,Young
7062,ANU,Yipti,1,Young
7063,ANU,Wyalkatchem,1,Young
7064,ANU,Excalibur,1,Young
7065,ANU,39586,1,Young
7066,ANU,39592,1,Young
7067,ANU,39606,1,Young
7068,ANU,39608,1,Young
7069,ANU,39611,1,Young
7070,ANU,39636,1,Young
7071,ANU,Magenta,2,Young
7072,ANU,Rees,2,Young
7073,ANU,Chara_-_WT,2,Young
7074,ANU,803_-WW,2,Young
7075,ANU,93-WW,2,Young
7076,ANU,705-WW,2,Young
7077,ANU,959WW,2,Young
7078,ANU,DM-WW,2,Young
7079,ANU,Lincoln,2,Young
7080,ANU,EGA-2248,2,Young
7081,ANU,Berkut,2,Young
7082,ANU,BT-schomburgk,2,Young
7083,ANU,GBA_sapphire,2,Young
7084,ANU,Frame,2,Young
7085,ANU,Young,2,Young
7086,ANU,Aroona,2,Young
7087,ANU,Westoria,2,Young
7088,ANU,Arrino,2,Young
7089,ANU,Baxter,2,Young
7090,ANU,Endure,2,Young
7091,ANU,Fang,2,Young
7092,ANU,Machete,2,Young
7093,ANU,Ventura,2,Young
7094,ANU,Clearfield_STL,2,Young
7095,ANU,Sarc_1,2,Young
7096,ANU,Yaradouka_or_Yanadouka,2,Young
7097,ANU,Annuello,2,Young
7098,ANU,EGA_-_Eagle_Rock,2,Young
7099,ANU,Krichau_ff,2,Young
7100,ANU,Ducula_4,2,Young
7101,ANU,H45,2,Young
7102,ANU,Zippy,2,Young
7103,ANU,Carnamah,2,Young
7104,ANU,Perenjori,2,Young
7105,ANU,Tamamrin_Rock_or_Tammarin_Rock,2,Young
7106,ANU,Espada,2,Young
7107,ANU,Calingiri,2,Young
7108,ANU,EGA_-_Bonnie_Rock,2,Young
7109,ANU,Stiletto,2,Young
7110,ANU,Datatine,2,Young
7111,ANU,Spear,2,Young
7112,ANU,Cranbrook,2,Young
7113,ANU,Fortune,2,Young
7114,ANU,Halgerg_or_Halberd,2,Young
7115,ANU,Ruby,2,Young
7116,ANU,Mace,2,Young
7117,ANU,Wentworth,2,Young
7118,ANU,Correli_or_Corrill,2,Young
7119,ANU,Lang,2,Young
7120,ANU,Catalina,2,Young
7121,ANU,Axe,2,Young
7122,ANU,Janz,2,Young
7123,ANU,Binno_or_Binnu,2,Young
7124,ANU,Cascades,2,Young
7125,ANU,Guardian,2,Young
7126,ANU,Sunco,2,Young
7127,ANU,Bumper,2,Young
7128,ANU,Magenta2,2,Young
7129,ANU,Hartog,2,Young
7130,ANU,Gladius,2,Young
7131,ANU,Drysdale,2,Young
7132,ANU,Yipti,2,Young
7133,ANU,Wyalkatchem,2,Young
7134,ANU,Excalibur,2,Young
7135,ANU,39586,2,Young
7136,ANU,39592,2,Young
7137,ANU,39606,2,Young
7138,ANU,39608,2,Young
7139,ANU,39611,2,Young
7140,ANU,39636,2,Young
7141,ANU,Magenta,3,Young
7142,ANU,Rees,3,Young
7143,ANU,Chara_-_WT,3,Young
7144,ANU,803_-WW,3,Young
7145,ANU,93-WW,3,Young
7146,ANU,705-WW,3,Young
7147,ANU,959WW,3,Young
7148,ANU,DM-WW,3,Young
7149,ANU,Lincoln,3,Young
7150,ANU,EGA-2248,3,Young
7151,ANU,Berkut,3,Young
7152,ANU,BT-schomburgk,3,Young
7153,ANU,GBA_sapphire,3,Young
7154,ANU,Frame,3,Young
7155,ANU,Young,3,Young
7156,ANU,Aroona,3,Young
7157,ANU,Westoria,3,Young
7158,ANU,Arrino,3,Young
7159,ANU,Baxter,3,Young
7160,ANU,Endure,3,Young
7161,ANU,Fang,3,Young
7162,ANU,Machete,3,Young
7163,ANU,Ventura,3,Young
7164,ANU,Clearfield_STL,3,Young
7165,ANU,Sarc_1,3,Young
7166,ANU,Yaradouka_or_Yanadouka,3,Young
7167,ANU,Annuello,3,Young
7168,ANU,EGA_-_Eagle_Rock,3,Young
7169,ANU,Krichau_ff,3,Young
7170,ANU,Ducula_4,3,Young
7171,ANU,H45,3,Young
7172,ANU,Zippy,3,Young
7173,ANU,Carnamah,3,Young
7174,ANU,Perenjori,3,Young
7175,ANU,Tamamrin_Rock_or_Tammarin_Rock,3,Young
7176,ANU,Espada,3,Young
7177,ANU,Calingiri,3,Young
7178,ANU,EGA_-_Bonnie_Rock,3,Young
7179,ANU,Stiletto,3,Young
7180,ANU,Datatine,3,Young
7181,ANU,Spear,3,Young
7182,ANU,Cranbrook,3,Young
7183,ANU,Fortune,3,Young
7184,ANU,Halgerg_or_Halberd,3,Young
7185,ANU,Ruby,3,Young
7186,ANU,Mace,3,Young
7187,ANU,Wentworth,3,Young
7188,ANU,Correli_or_Corrill,3,Young
7189,ANU,Lang,3,Young
7190,ANU,Catalina,3,Young
7191,ANU,Axe,3,Young
7192,ANU,Janz,3,Young
7193,ANU,Binno_or_Binnu,3,Young
7194,ANU,Cascades,3,Young
7195,ANU,Guardian,3,Young
7196,ANU,Sunco,3,Young
7197,ANU,Bumper,3,Young
7198,ANU,Magenta2,3,Young
7199,ANU,Hartog,3,Young
7200,ANU,Gladius,3,Young
7201,ANU,Drysdale,3,Young
7202,ANU,Yipti,3,Young
7203,ANU,Wyalkatchem,3,Young
7204,ANU,Excalibur,3,Young
7205,ANU,39586,3,Young
7206,ANU,39592,3,Young
7207,ANU,39606,3,Young
7208,ANU,39608,3,Young
7209,ANU,39611,3,Young
7210,ANU,39636,3,Young
7211,ANU,Magenta,4,Young
7212,ANU,Rees,4,Young
7213,ANU,Chara_-_WT,4,Young
7214,ANU,803_-WW,4,Young
7215,ANU,93-WW,4,Young
7216,ANU,705-WW,4,Young
7217,ANU,959WW,4,Young
7218,ANU,DM-WW,4,Young
7219,ANU,Lincoln,4,Young
7220,ANU,EGA-2248,4,Young
7221,ANU,Berkut,4,Young
7222,ANU,BT-schomburgk,4,Young
7223,ANU,GBA_sapphire,4,Young
7224,ANU,Frame,4,Young
7225,ANU,Young,4,Young
7226,ANU,Aroona,4,Young
7227,ANU,Westoria,4,Young
7228,ANU,Arrino,4,Young
7229,ANU,Baxter,4,Young
7230,ANU,Endure,4,Young
7231,ANU,Fang,4,Young
7232,ANU,Machete,4,Young
7233,ANU,Ventura,4,Young
7234,ANU,Clearfield_STL,4,Young
7235,ANU,Sarc_1,4,Young
7236,ANU,Yaradouka_or_Yanadouka,4,Young
7237,ANU,Annuello,4,Young
7238,ANU,EGA_-_Eagle_Rock,4,Young
7239,ANU,Krichau_ff,4,Young
7240,ANU,Ducula_4,4,Young
7241,ANU,H45,4,Young
7242,ANU,Zippy,4,Young
7243,ANU,Carnamah,4,Young
7244,ANU,Perenjori,4,Young
7245,ANU,Tamamrin_Rock_or_Tammarin_Rock,4,Young
7246,ANU,Espada,4,Young
7247,ANU,Calingiri,4,Young
7248,ANU,EGA_-_Bonnie_Rock,4,Young
7249,ANU,Stiletto,4,Young
7250,ANU,Datatine,4,Young
7251,ANU,Spear,4,Young
7252,ANU,Cranbrook,4,Young
7253,ANU,Fortune,4,Young
7254,ANU,Halgerg_or_Halberd,4,Young
7255,ANU,Ruby,4,Young
7256,ANU,Mace,4,Young
7257,ANU,Wentworth,4,Young
7258,ANU,Correli_or_Corrill,4,Young
7259,ANU,Lang,4,Young
7260,ANU,Catalina,4,Young
7261,ANU,Axe,4,Young
7262,ANU,Janz,4,Young
7263,ANU,Binno_or_Binnu,4,Young
7264,ANU,Cascades,4,Young
7265,ANU,Guardian,4,Young
7266,ANU,Sunco,4,Young
7267,ANU,Bumper,4,Young
7268,ANU,Magenta2,4,Young
7269,ANU,Hartog,4,Young
7270,ANU,Gladius,4,Young
7271,ANU,Drysdale,4,Young
7272,ANU,Yipti,4,Young
7273,ANU,Wyalkatchem,4,Young
7274,ANU,Excalibur,4,Young
7275,ANU,39586,4,Young
7276,ANU,39592,4,Young
7277,ANU,39606,4,Young
7278,ANU,39608,4,Young
7279,ANU,39611,4,Young
7280,ANU,39636,4,Young
3001,PIEPS,ESPADA,1,Mature
3002,PIEPS,CCG16,1,Mature
3003,PIEPS,CCG23,1,Mature
3004,PIEPS,MAGENTA,1,Mature
3005,PIEPS,CCG18,1,Mature
3006,PIEPS,CCG13,1,Mature
3007,PIEPS,MACE,1,Mature
3008,PIEPS,CCG4,1,Mature
3009,PIEPS,CCG10,1,Mature
3010,PIEPS,CCG11,1,Mature
3011,PIEPS,CCG2,1,Mature
3012,PIEPS,CCG19,1,Mature
3013,PIEPS,CCG7,1,Mature
3014,PIEPS,CCG14,1,Mature
3015,PIEPS,CCG25,1,Mature
3016,PIEPS,CCG22,1,Mature
3017,PIEPS,CCG5,1,Mature
3018,PIEPS,DRYSDALE,1,Mature
3019,PIEPS,CCG24,1,Mature
3020,PIEPS,CCG15,1,Mature
3021,PIEPS,AXE,1,Mature
3022,PIEPS,CCG28,1,Mature
3023,PIEPS,CCG26,1,Mature
3024,PIEPS,CCG6,1,Mature
3025,PIEPS,MACE,2,Mature
3026,PIEPS,CCG14,2,Mature
3027,PIEPS,CCG24,2,Mature
3028,PIEPS,CCG11,2,Mature
3029,PIEPS,CCG7,2,Mature
3030,PIEPS,ESPADA,2,Mature
3031,PIEPS,MAGENTA,2,Mature
3032,PIEPS,CCG10,2,Mature
3033,PIEPS,DRYSDALE,2,Mature
3034,PIEPS,CCG28,2,Mature
3035,PIEPS,CCG18,2,Mature
3036,PIEPS,CCG6,2,Mature
3037,PIEPS,CCG16,2,Mature
3038,PIEPS,CCG4,2,Mature
3039,PIEPS,CCG13,2,Mature
3040,PIEPS,AXE,2,Mature
3041,PIEPS,CCG23,2,Mature
3042,PIEPS,CCG26,2,Mature
3043,PIEPS,CCG19,2,Mature
3044,PIEPS,CCG25,2,Mature
3045,PIEPS,CCG22,2,Mature
3046,PIEPS,CCG2,2,Mature
3047,PIEPS,CCG5,2,Mature
3048,PIEPS,CCG15,2,Mature
3049,PIEPS,CCG10,3,Mature
3050,PIEPS,CCG13,3,Mature
3051,PIEPS,CCG7,3,Mature
3052,PIEPS,CCG18,3,Mature
3053,PIEPS,CCG2,3,Mature
3054,PIEPS,CCG28,3,Mature
3055,PIEPS,CCG16,3,Mature
3056,PIEPS,CCG22,3,Mature
3057,PIEPS,ESPADA,3,Mature
3058,PIEPS,CCG15,3,Mature
3059,PIEPS,CCG26,3,Mature
3060,PIEPS,MACE,3,Mature
3061,PIEPS,CCG23,3,Mature
3062,PIEPS,CCG24,3,Mature
3063,PIEPS,CCG5,3,Mature
3064,PIEPS,CCG6,3,Mature
3065,PIEPS,CCG11,3,Mature
3066,PIEPS,CCG14,3,Mature
3067,PIEPS,AXE,3,Mature
3068,PIEPS,CCG19,3,Mature
3069,PIEPS,CCG4,3,Mature
3070,PIEPS,DRYSDALE,3,Mature
3071,PIEPS,CCG25,3,Mature
3072,PIEPS,ESPADA,1,Mature
3073,PIEPS,CCG16,1,Mature
3074,PIEPS,CCG23,1,Mature
3075,PIEPS,MAGENTA,1,Mature
3076,PIEPS,CCG18,1,Mature
3077,PIEPS,CCG13,1,Mature
3078,PIEPS,MACE,1,Mature
3079,PIEPS,CCG4,1,Mature
3080,PIEPS,CCG10,1,Mature
3081,PIEPS,CCG11,1,Mature
3082,PIEPS,CCG2,1,Mature
3083,PIEPS,CCG19,1,Mature
3084,PIEPS,CCG7,1,Mature
3085,PIEPS,CCG14,1,Mature
3086,PIEPS,CCG25,1,Mature
3087,PIEPS,CCG22,1,Mature
3088,PIEPS,CCG5,1,Mature
3089,PIEPS,DRYSDALE,1,Mature
3090,PIEPS,CCG24,1,Mature
3091,PIEPS,CCG15,1,Mature
3092,PIEPS,AXE,1,Mature
3093,PIEPS,CCG28,1,Mature
3094,PIEPS,CCG26,1,Mature
3095,PIEPS,CCG6,1,Mature
3096,PIEPS,MACE,2,Mature
3097,PIEPS,CCG14,2,Mature
3098,PIEPS,CCG24,2,Mature
3099,PIEPS,CCG11,2,Mature
3100,PIEPS,CCG7,2,Mature
3101,PIEPS,ESPADA,2,Mature
3102,PIEPS,MAGENTA,2,Mature
3103,PIEPS,CCG10,2,Mature
3104,PIEPS,DRYSDALE,2,Mature
3105,PIEPS,CCG28,2,Mature
3106,PIEPS,CCG18,2,Mature
3107,PIEPS,CCG6,2,Mature
3108,PIEPS,CCG16,2,Mature
3109,PIEPS,CCG4,2,Mature
3110,PIEPS,CCG13,2,Mature
3111,PIEPS,AXE,2,Mature
3112,PIEPS,CCG23,2,Mature
3113,PIEPS,CCG26,2,Mature
3114,PIEPS,CCG19,2,Mature
3115,PIEPS,CCG25,2,Mature
3116,PIEPS,CCG22,2,Mature
3117,PIEPS,CCG2,2,Mature
3118,PIEPS,CCG5,2,Mature
3119,PIEPS,CCG15,2,Mature
3120,PIEPS,CCG10,3,Mature
3121,PIEPS,CCG13,3,Mature
3122,PIEPS,CCG7,3,Mature
3123,PIEPS,CCG18,3,Mature
3124,PIEPS,CCG2,3,Mature
3125,PIEPS,CCG28,3,Mature
3126,PIEPS,CCG16,3,Mature
3127,PIEPS,CCG22,3,Mature
3128,PIEPS,ESPADA,3,Mature
3129,PIEPS,CCG15,3,Mature
3130,PIEPS,CCG26,3,Mature
3131,PIEPS,MACE,3,Mature
3132,PIEPS,CCG23,3,Mature
3133,PIEPS,CCG24,3,Mature
3134,PIEPS,CCG5,3,Mature
3135,PIEPS,CCG6,3,Mature
3136,PIEPS,CCG11,3,Mature
3137,PIEPS,CCG14,3,Mature
3138,PIEPS,AXE,3,Mature
3139,PIEPS,CCG19,3,Mature
3140,PIEPS,CCG4,3,Mature
3141,PIEPS,DRYSDALE,3,Mature
3142,PIEPS,CCG25,3,Mature
3143,PIEPS,ESPADA,1,Mature
3144,PIEPS,CCG23,1,Mature
3145,PIEPS,MAGENTA,1,Mature
3146,PIEPS,CCG18,1,Mature
3147,PIEPS,CCG13,1,Mature
3148,PIEPS,MACE,1,Mature
3149,PIEPS,CCG4,1,Mature
3150,PIEPS,CCG10,1,Mature
3151,PIEPS,CCG11,1,Mature
3152,PIEPS,CCG2,1,Mature
3153,PIEPS,CCG19,1,Mature
3154,PIEPS,CCG7,1,Mature
3155,PIEPS,CCG14,1,Mature
3156,PIEPS,CCG25,1,Mature
3157,PIEPS,CCG22,1,Mature
3158,PIEPS,CCG5,1,Mature
3159,PIEPS,DRYSDALE,1,Mature
3160,PIEPS,CCG24,1,Mature
3161,PIEPS,CCG15,1,Mature
3162,PIEPS,AXE,1,Mature
3163,PIEPS,CCG28,1,Mature
3164,PIEPS,CCG26,1,Mature
3165,PIEPS,CCG6,1,Mature
3166,PIEPS,MACE,2,Mature
3167,PIEPS,CCG14,2,Mature
3168,PIEPS,CCG24,2,Mature
3169,PIEPS,CCG11,2,Mature
3170,PIEPS,CCG7,2,Mature
3171,PIEPS,ESPADA,2,Mature
3172,PIEPS,MAGENTA,2,Mature
3173,PIEPS,CCG10,2,Mature
3174,PIEPS,DRYSDALE,2,Mature
3175,PIEPS,CCG28,2,Mature
3176,PIEPS,CCG18,2,Mature
3177,PIEPS,CCG6,2,Mature
3178,PIEPS,CCG16,2,Mature
3179,PIEPS,CCG4,2,Mature
3180,PIEPS,CCG13,2,Mature
3181,PIEPS,AXE,2,Mature
3182,PIEPS,CCG23,2,Mature
3183,PIEPS,CCG26,2,Mature
3184,PIEPS,CCG19,2,Mature
3185,PIEPS,CCG25,2,Mature
3186,PIEPS,CCG22,2,Mature
3187,PIEPS,CCG2,2,Mature
3188,PIEPS,CCG5,2,Mature
3189,PIEPS,CCG15,2,Mature
3190,PIEPS,CCG10,3,Mature
3191,PIEPS,CCG13,3,Mature
3192,PIEPS,CCG7,3,Mature
3193,PIEPS,CCG18,3,Mature
3194,PIEPS,CCG2,3,Mature
3195,PIEPS,CCG28,3,Mature
3196,PIEPS,CCG16,3,Mature
3197,PIEPS,CCG22,3,Mature
3198,PIEPS,ESPADA,3,Mature
3199,PIEPS,CCG15,3,Mature
3200,PIEPS,CCG26,3,Mature
3201,PIEPS,MACE,3,Mature
3202,PIEPS,CCG23,3,Mature
3203,PIEPS,CCG24,3,Mature
3204,PIEPS,CCG5,3,Mature
3205,PIEPS,CCG6,3,Mature
3206,PIEPS,CCG11,3,Mature
3207,PIEPS,CCG14,3,Mature
3208,PIEPS,AXE,3,Mature
3209,PIEPS,CCG19,3,Mature
3210,PIEPS,CCG4,3,Mature
3211,PIEPS,DRYSDALE,3,Mature
3212,PIEPS,CCG25,3,Mature
4001,PIEPS,ESPADA,1,Mature
4002,PIEPS,CCG16,1,Mature
4003,PIEPS,CCG23,1,Mature
4004,PIEPS,MAGENTA,1,Mature
4005,PIEPS,CCG18,1,Mature
4006,PIEPS,CCG13,1,Mature
4007,PIEPS,MACE,1,Mature
4008,PIEPS,CCG4,1,Mature
4009,PIEPS,CCG10,1,Mature
4010,PIEPS,CCG11,1,Mature
4011,PIEPS,CCG2,1,Mature
4012,PIEPS,CCG19,1,Mature
4013,PIEPS,CCG7,1,Mature
4014,PIEPS,CCG14,1,Mature
4015,PIEPS,CCG25,1,Mature
4016,PIEPS,CCG22,1,Mature
4017,PIEPS,CCG5,1,Mature
4018,PIEPS,DRYSDALE,1,Mature
4019,PIEPS,CCG24,1,Mature
4020,PIEPS,CCG15,1,Mature
4021,PIEPS,AXE,1,Mature
4022,PIEPS,CCG28,1,Mature
4023,PIEPS,CCG26,1,Mature
4024,PIEPS,CCG6,1,Mature
4025,PIEPS,MACE,2,Mature
4026,PIEPS,CCG14,2,Mature
4027,PIEPS,CCG24,2,Mature
4028,PIEPS,CCG11,2,Mature
4029,PIEPS,CCG7,2,Mature
4030,PIEPS,ESPADA,2,Mature
4031,PIEPS,MAGENTA,2,Mature
4032,PIEPS,CCG10,2,Mature
4033,PIEPS,DRYSDALE,2,Mature
4034,PIEPS,CCG28,2,Mature
4035,PIEPS,CCG18,2,Mature
4036,PIEPS,CCG6,2,Mature
4037,PIEPS,CCG16,2,Mature
4038,PIEPS,CCG4,2,Mature
4039,PIEPS,CCG13,2,Mature
4040,PIEPS,AXE,2,Mature
4041,PIEPS,CCG23,2,Mature
4042,PIEPS,CCG26,2,Mature
4043,PIEPS,CCG19,2,Mature
4044,PIEPS,CCG25,2,Mature
4045,PIEPS,CCG22,2,Mature
4046,PIEPS,CCG2,2,Mature
4047,PIEPS,CCG5,2,Mature
4048,PIEPS,CCG15,2,Mature
4049,PIEPS,CCG10,3,Mature
4050,PIEPS,CCG13,3,Mature
4051,PIEPS,CCG7,3,Mature
4052,PIEPS,CCG18,3,Mature
4053,PIEPS,CCG2,3,Mature
4054,PIEPS,CCG28,3,Mature
4055,PIEPS,CCG16,3,Mature
4056,PIEPS,CCG22,3,Mature
4057,PIEPS,ESPADA,3,Mature
4058,PIEPS,CCG15,3,Mature
4059,PIEPS,CCG26,3,Mature
4060,PIEPS,MACE,3,Mature
4061,PIEPS,CCG23,3,Mature
4062,PIEPS,CCG24,3,Mature
4063,PIEPS,MAGENTA,3,Mature
4064,PIEPS,CCG5,3,Mature
4065,PIEPS,CCG6,3,Mature
4066,PIEPS,CCG11,3,Mature
4067,PIEPS,CCG14,3,Mature
4068,PIEPS,AXE,3,Mature
4069,PIEPS,CCG19,3,Mature
4070,PIEPS,CCG4,3,Mature
4071,PIEPS,DRYSDALE,3,Mature
4072,PIEPS,CCG25,3,Mature
4073,PIEPS,ESPADA,1,Mature
4074,PIEPS,CCG16,1,Mature
4075,PIEPS,CCG23,1,Mature
4076,PIEPS,MAGENTA,1,Mature
4077,PIEPS,CCG18,1,Mature
4078,PIEPS,CCG13,1,Mature
4079,PIEPS,MACE,1,Mature
4080,PIEPS,CCG4,1,Mature
4081,PIEPS,CCG10,1,Mature
4082,PIEPS,CCG11,1,Mature
4083,PIEPS,CCG2,1,Mature
4084,PIEPS,CCG19,1,Mature
4085,PIEPS,CCG7,1,Mature
4086,PIEPS,CCG14,1,Mature
4087,PIEPS,CCG25,1,Mature
4088,PIEPS,CCG22,1,Mature
4089,PIEPS,CCG5,1,Mature
4090,PIEPS,DRYSDALE,1,Mature
4091,PIEPS,CCG24,1,Mature
4092,PIEPS,CCG15,1,Mature
4093,PIEPS,AXE,1,Mature
4094,PIEPS,CCG28,1,Mature
4095,PIEPS,CCG26,1,Mature
4096,PIEPS,CCG6,1,Mature
4097,PIEPS,MACE,2,Mature
4098,PIEPS,CCG14,2,Mature
4099,PIEPS,CCG24,2,Mature
4100,PIEPS,CCG11,2,Mature
4101,PIEPS,CCG7,2,Mature
4102,PIEPS,ESPADA,2,Mature
4103,PIEPS,MAGENTA,2,Mature
4104,PIEPS,CCG10,2,Mature
4105,PIEPS,DRYSDALE,2,Mature
4106,PIEPS,CCG28,2,Mature
4107,PIEPS,CCG18,2,Mature
4108,PIEPS,CCG6,2,Mature
4109,PIEPS,CCG16,2,Mature
4110,PIEPS,CCG4,2,Mature
4111,PIEPS,CCG13,2,Mature
4112,PIEPS,AXE,2,Mature
4113,PIEPS,CCG23,2,Mature
4114,PIEPS,CCG26,2,Mature
4115,PIEPS,CCG19,2,Mature
4116,PIEPS,CCG25,2,Mature
4117,PIEPS,CCG22,2,Mature
4118,PIEPS,CCG2,2,Mature
4119,PIEPS,CCG5,2,Mature
4120,PIEPS,CCG15,2,Mature
4121,PIEPS,CCG10,3,Mature
4122,PIEPS,CCG13,3,Mature
4123,PIEPS,CCG7,3,Mature
4124,PIEPS,CCG18,3,Mature
4125,PIEPS,CCG2,3,Mature
4126,PIEPS,CCG28,3,Mature
4127,PIEPS,CCG16,3,Mature
4128,PIEPS,CCG22,3,Mature
4129,PIEPS,ESPADA,3,Mature
4130,PIEPS,CCG15,3,Mature
4131,PIEPS,CCG26,3,Mature
4132,PIEPS,MACE,3,Mature
4133,PIEPS,CCG23,3,Mature
4134,PIEPS,CCG24,3,Mature
4135,PIEPS,MAGENTA,3,Mature
4136,PIEPS,CCG5,3,Mature
4137,PIEPS,CCG6,3,Mature
4138,PIEPS,CCG11,3,Mature
4139,PIEPS,CCG14,3,Mature
4140,PIEPS,AXE,3,Mature
4141,PIEPS,CCG19,3,Mature
4142,PIEPS,CCG4,3,Mature
4143,PIEPS,DRYSDALE,3,Mature
4144,PIEPS,CCG25,3,Mature
4145,PIEPS,ESPADA,1,Mature
4146,PIEPS,CCG16,1,Mature
4147,PIEPS,CCG23,1,Mature
4148,PIEPS,MAGENTA,1,Mature
4149,PIEPS,CCG18,1,Mature
4150,PIEPS,CCG13,1,Mature
4151,PIEPS,MACE,1,Mature
4152,PIEPS,CCG4,1,Mature
4153,PIEPS,CCG10,1,Mature
4154,PIEPS,CCG11,1,Mature
4155,PIEPS,CCG2,1,Mature
4156,PIEPS,CCG19,1,Mature
4157,PIEPS,CCG7,1,Mature
4158,PIEPS,CCG14,1,Mature
4159,PIEPS,CCG25,1,Mature
4160,PIEPS,CCG22,1,Mature
4161,PIEPS,CCG5,1,Mature
4162,PIEPS,DRYSDALE,1,Mature
4163,PIEPS,CCG24,1,Mature
4164,PIEPS,CCG15,1,Mature
4165,PIEPS,AXE,1,Mature
4166,PIEPS,CCG28,1,Mature
4167,PIEPS,CCG26,1,Mature
4168,PIEPS,CCG6,1,Mature
4169,PIEPS,MACE,2,Mature
4170,PIEPS,CCG14,2,Mature
4171,PIEPS,CCG24,2,Mature
4172,PIEPS,CCG11,2,Mature
4173,PIEPS,CCG7,2,Mature
4174,PIEPS,ESPADA,2,Mature
4175,PIEPS,MAGENTA,2,Mature
4176,PIEPS,CCG10,2,Mature
4177,PIEPS,DRYSDALE,2,Mature
4178,PIEPS,CCG28,2,Mature
4179,PIEPS,CCG18,2,Mature
4180,PIEPS,CCG6,2,Mature
4181,PIEPS,CCG16,2,Mature
4182,PIEPS,CCG4,2,Mature
4183,PIEPS,CCG13,2,Mature
4184,PIEPS,AXE,2,Mature
4185,PIEPS,CCG23,2,Mature
4186,PIEPS,CCG26,2,Mature
4187,PIEPS,CCG19,2,Mature
4188,PIEPS,CCG25,2,Mature
4189,PIEPS,CCG22,2,Mature
4190,PIEPS,CCG2,2,Mature
4191,PIEPS,CCG5,2,Mature
4192,PIEPS,CCG15,2,Mature
4193,PIEPS,CCG10,3,Mature
4194,PIEPS,CCG13,3,Mature
4195,PIEPS,CCG7,3,Mature
4196,PIEPS,CCG18,3,Mature
4197,PIEPS,CCG2,3,Mature
4198,PIEPS,CCG28,3,Mature
4199,PIEPS,CCG16,3,Mature
4200,PIEPS,CCG22,3,Mature
4201,PIEPS,ESPADA,3,Mature
4202,PIEPS,CCG15,3,Mature
4203,PIEPS,CCG26,3,Mature
4204,PIEPS,MACE,3,Mature
4205,PIEPS,CCG23,3,Mature
4206,PIEPS,CCG24,3,Mature
4207,PIEPS,MAGENTA,3,Mature
4208,PIEPS,CCG5,3,Mature
4209,PIEPS,CCG6,3,Mature
4210,PIEPS,CCG11,3,Mature
4211,PIEPS,CCG14,3,Mature
4212,PIEPS,AXE,3,Mature
4213,PIEPS,CCG19,3,Mature
4214,PIEPS,CCG4,3,Mature
4215,PIEPS,DRYSDALE,3,Mature
4216,PIEPS,CCG25,3,Mature
