no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
85,Fb 2c,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00297.asd.txt,Moricandia_CLF00297.asd,Moricandia_CLF00297.asd.sco,Jun14_Fb2c_.csv,84.63888889,7.6088,4.56,34.7,
86,Fb 3a,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00303.asd.txt,Moricandia_CLF00303.asd,Moricandia_CLF00303.asd.sco,Jun14_Fb3a_.csv,81.888495,7.1608,4.98,35.64,
87,Fb 3b,Flaveria bidentis,Wild,Sun,Mature,Managed,C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00309.asd.txt,Moricandia_CLF00309.asd,Moricandia_CLF00309.asd.sco,Jun14_Fb3b_.csv,84.36043501,7.3484,5.13,37.72,
88,Fp 1a,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00234.asd.txt,Moricandia_CLF00234.asd,Moricandia_CLF00234.asd.sco,Jun14_Fp1a_.csv,94.87737342,5.3797,5.33,28.69,
89,Fp 1b,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00240.asd.txt,Moricandia_CLF00240.asd,Moricandia_CLF00240.asd.sco,Jun14_Fp1b_.csv,94.17253521,5.6287,5.34,30.06,
90,Fp 2a,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00246.asd.txt,Moricandia_CLF00246.asd,Moricandia_CLF00246.asd.sco,Jun14_Fp2a_.csv,93.20914879,6.2495,5.21,32.58,
91,Fp 2b,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00252.asd.txt,Moricandia_CLF00252.asd,Moricandia_CLF00252.asd.sco,Jun14_Fp2b_.csv,94.37561943,5.8463,5.35,31.27,
92,Fp 3a,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00261.asd.txt,Moricandia_CLF00261.asd,Moricandia_CLF00261.asd.sco,Jun14_Fp3a_.csv,86.03556485,4.9105,6.12,30.07,
93,Fp 3b,Flaveria pringlii,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00267.asd.txt,Moricandia_CLF00267.asd,Moricandia_CLF00267.asd.sco,Jun14_Fp3b_.csv,84.27525622,5.1523,5.87,30.27,
94,Fr 1a,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00171.asd.txt,Moricandia_CLF00171.asd,Moricandia_CLF00171.asd.sco,Jun14_FR1a_.csv,89.09932051,4.8685,6.47,31.51,
96,Fr 1c,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00180.asd.txt,Moricandia_CLF00180.asd,Moricandia_CLF00180.asd.sco,Jun14_FR1c_.csv,91.39084825,4.3312,6.89,29.86,
97,Fr 1e,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00210.asd.txt,Moricandia_CLF00210.asd,Moricandia_CLF00210.asd.sco,Jun14_FR1e_.csv,89.7826087,5.0856,6.59,33.52,
98,Fr 1f,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00216.asd.txt,Moricandia_CLF00216.asd,Moricandia_CLF00216.asd.sco,Jun14_FR1f_.csv,95.06437768,4.619,6.56,30.31,
99,Fr 2a,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00186.asd.txt,Moricandia_CLF00186.asd,Moricandia_CLF00186.asd.sco,Jun14_FR2a_.csv,,4.7713,6.63,31.62,
101,Fr 2c,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00198.asd.txt,Moricandia_CLF00198.asd,Moricandia_CLF00198.asd.sco,Jun14_FR2c_.csv,93.21186138,4.5728,6.63,30.31,
102,Fr 2d,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00204.asd.txt,Moricandia_CLF00204.asd,Moricandia_CLF00204.asd.sco,Jun14_FR2d_.csv,91.45193261,5.045,6.53,32.93,
103,Fr 3a,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00222.asd.txt,Moricandia_CLF00222.asd,Moricandia_CLF00222.asd.sco,Jun14_FR3a_.csv,93.89484607,5.8835,5.49,32.28,
104,Fr 3b,Flaveria robusta,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00228.asd.txt,Moricandia_CLF00228.asd,Moricandia_CLF00228.asd.sco,Jun14_FR3b_.csv,93.57798165,6.1264,5.31,32.55,
105,M. mori 23,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00123.asd.txt,Moricandia_CLF00123.asd,Moricandia_CLF00123.asd.sco,Jun14_MmGH_23a_.csv,94.52038224,5.6892,5.72,32.53,
106,M. mori 24,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00117.asd.txt,Moricandia_CLF00117.asd,Moricandia_CLF00117.asd.sco,Jun14_MmGH_24a_.csv,91.97897623,5.188,6.78,35.2,
107,M. mori 25,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00099.asd.txt,Moricandia_CLF00099.asd,Moricandia_CLF00099.asd.sco,Jun14_MmGH_25a_.csv,88.50432633,5.568,5.99,33.37,
108,M. mori 27,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00105.asd.txt,Moricandia_CLF00105.asd,Moricandia_CLF00105.asd.sco,Jun14_MmGH_27a_.csv,92.41784038,4.6013,6.99,32.18,
109,M. mori 28,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00111.asd.txt,Moricandia_CLF00111.asd,Moricandia_CLF00111.asd.sco,Jun14_MmGH_28a_.csv,92.88408348,4.8969,6.71,32.87,
110,M. mori xx1a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00129.asd.txt,Moricandia_CLF00129.asd,Moricandia_CLF00129.asd.sco,Jun14_MmGH_xx1a_.csv,95.61614944,5.8821,6.17,36.28,
113,M. mori 8a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00063.asd.txt,Moricandia_CLF00063.asd,Moricandia_CLF00063.asd.sco,Jun14_MmCLF_8a_.csv,94.29650954,4.3989,6.76,29.73,
114,M. mori x1a (13),Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00033.asd.txt,Moricandia_CLF00033.asd,Moricandia_CLF00033.asd.sco,Jun14_MmCLF_x1a_.csv,86.33254407,5.1938,6.88,35.71,
115,M. mori x2a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00051.asd.txt,Moricandia_CLF00051.asd,Moricandia_CLF00051.asd.sco,Jun14_MmCLF_x2a_.csv,91.69840061,5.0184,6.29,31.58,
116,M. mori 12a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00057.asd.txt,Moricandia_CLF00057.asd,Moricandia_CLF00057.asd.sco,Jun14_MmCLF_12a_.csv,90.51391036,4.5652,7.84,35.79,
117,M. mori 14a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00039.asd.txt,Moricandia_CLF00039.asd,Moricandia_CLF00039.asd.sco,Jun14_MmCLF_14a_.csv,88.7218979,5.3899,6.47,34.85,
118,M. mori 15a,Moricandia moricandioides,Wild,Sun,Mature,Managed,C3,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00045.asd.txt,Moricandia_CLF00045.asd,Moricandia_CLF00045.asd.sco,Jun14_MmCLF_15a_.csv,87.00171561,5.0422,6.53,32.9,
119,M. suff 6,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00003.asd.txt,Moricandia_CLF00003.asd,Moricandia_CLF00003.asd.sco,Jun14_MsCLF6a_.csv,75.65536817,10.7252,3.56,38.16,
120,M. suff 7,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00009.asd.txt,Moricandia_CLF00009.asd,Moricandia_CLF00009.asd.sco,Jun14_MsCLF7a_.csv,81.09915673,6.6124,4.78,31.58,
121,M. suff 8,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00015.asd.txt,Moricandia_CLF00015.asd,Moricandia_CLF00015.asd.sco,Jun14_MsCLF8a_.csv,84.95658739,4.9715,7.58,37.7,
122,M. suff 10,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00021.asd.txt,Moricandia_CLF00021.asd,Moricandia_CLF00021.asd.sco,Jun14_MsCLF10a_.csv,82.23036851,6.8421,5.03,34.4,
123,M. suff 1,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00027.asd.txt,Moricandia_CLF00027.asd,Moricandia_CLF00027.asd.sco,Jun14_MsCLF1a_.csv,83.36435945,6.6048,4.92,32.48,
124,M. suff 11,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00093.asd.txt,Moricandia_CLF00093.asd,Moricandia_CLF00093.asd.sco,Jun14_MsGH11a_.csv,87.29586936,6.3274,5.19,32.84,
126,M. suff 15,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00069.asd.txt,Moricandia_CLF00069.asd,Moricandia_CLF00069.asd.sco,Jun14_MsGH15a_.csv,86.14977974,7.4112,5.05,37.45,
127,M. suff 17,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00075.asd.txt,Moricandia_CLF00075.asd,Moricandia_CLF00075.asd.sco,Jun14_MsGH17a_.csv,87.99848082,5.5448,5.56,30.83,
128,M. suff 18,Moricandia suffruticosa,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00081.asd.txt,Moricandia_CLF00081.asd,Moricandia_CLF00081.asd.sco,Jun14_MsGH18a_.csv,89.27851673,5.9184,5.61,33.2,
131,MOR1 1,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00165.asd.txt,Moricandia_CLF00165.asd,Moricandia_CLF00165.asd.sco,Jun14_MOR1GH_1a_.csv,94.94002482,7.9295,4.08,32.39,
132,MOR1 3,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00153.asd.txt,Moricandia_CLF00153.asd,Moricandia_CLF00153.asd.sco,Jun14_MOR1GH_3a_.csv,92.97961388,6.5562,4.82,31.61,
133,MOR1 6a,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00147.asd.txt,Moricandia_CLF00147.asd,Moricandia_CLF00147.asd.sco,Jun14_MOR1GH_6a_.csv,91.7504476,5.1009,5.74,29.29,
134,MOR1 7,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00141.asd.txt,Moricandia_CLF00141.asd,Moricandia_CLF00141.asd.sco,Jun14_MOR1GH_7a_.csv,91.47882736,5.7943,5.26,30.46,
135,MOR1 8,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00135.asd.txt,Moricandia_CLF00135.asd,Moricandia_CLF00135.asd.sco,Jun14_MOR1GH_8a_.csv,90.63333801,5.9179,5.52,32.64,
136,MOR1 20,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00159.asd.txt,Moricandia_CLF00159.asd,Moricandia_CLF00159.asd.sco,Jun14_MOR1GH_20a_.csv,93.4098482,4.3865,7.09,31.1,
137,MOR1_z1,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00357.asd.txt,Moricandia_CLF00357.asd,Moricandia_CLF00357.asd.sco,Jun14_Mor1GH_z1_.csv,79.14902855,4.8539,5.74,27.84,
138,MOR1_z4,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (greenhouse),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00363.asd.txt,Moricandia_CLF00363.asd,Moricandia_CLF00363.asd.sco,Jun14_Mor1GH_z4_.csv,78.19700171,8.848,3.77,33.36,
141,MOR1_14,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00315.asd.txt,Moricandia_CLF00315.asd,Moricandia_CLF00315.asd.sco,Jun14_Mor1_CLF14_.csv,81.58438873,9.1475,6.17,34.35,
142,MOR1_15,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00321.asd.txt,Moricandia_CLF00321.asd,Moricandia_CLF00321.asd.sco,Jun14_Mor1_CLF15_.csv,76.0170697,5.1987,4.1,37.49,
143,MOR1_9,Moricandia arvensis MOR1,Wild,Sun,Mature,Managed,C3-C4,control (CLF climate chamber),initial experiment June 2014,Dusseldorf_BG,Moricandia_CLF00327.asd.txt,Moricandia_CLF00327.asd,Moricandia_CLF00327.asd.sco,Jun14_Mor1_CLF9_.csv,81.35788262,6.6536,6.58,34.22,
144,10N_brassica_1,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00002.asd.txt,040815brassi00002.asd,040815brassi00002.asd.sco,040815_10N_B1_.csv,68.76033058,15.3527,2.42,37.22,-31.945595
145,10N_brassica_2,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00008.asd.txt,040815brassi00008.asd,040815brassi00008.asd.sco,040815_10N_B2_.csv,67.37513284,10.3757,3.59,37.21,-31.26276518
146,10N_brassica_3,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00014.asd.txt,040815brassi00014.asd,040815brassi00014.asd.sco,040815_10N_B3_.csv,69.39355654,10.7388,3.4,36.52,-31.53669219
147,10N_brassica_4,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00020.asd.txt,040815brassi00020.asd,040815brassi00020.asd.sco,040815_10N_B4_.csv,75.4789272,14.7298,2.47,36.31,-32.49635243
148,10N_brassica_5,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00027.asd.txt,040815brassi00027.asd,040815brassi00027.asd.sco,040815_10N_B5_.csv,77.98905609,16.8014,2.18,36.69,-32.29775637
149,10N_brassica_6,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00033.asd.txt,040815brassi00033.asd,040815brassi00033.asd.sco,040815_10N_B6_.csv,67.59688033,10.626,3.52,37.36,-32.00912336
150,10N_brassica_7,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00039.asd.txt,040815brassi00039.asd,040815brassi00039.asd.sco,040815_10N_B7_.csv,74.95502975,12.6324,2.82,35.68,-32.34267883
151,10N_brassica_9,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00051.asd.txt,040815brassi00051.asd,040815brassi00051.asd.sco,050815_10N_B9_.csv,66.46957849,7.4978,4.55,34.1,-31.95977105
152,10N_brassica_10,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00057.asd.txt,040815brassi00057.asd,040815brassi00057.asd.sco,050815_10N_B10_.csv,68.95070104,7.4095,4.97,36.83,-31.54760259
153,10N_brassica_11,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00063.asd.txt,040815brassi00063.asd,040815brassi00063.asd.sco,050815_10N_B11_.csv,73.25390916,10.0997,3.3,33.31,-32.84788776
154,10N_brassica_12,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00069.asd.txt,040815brassi00069.asd,040815brassi00069.asd.sco,050815_10N_B12_.csv,75.29411765,18.3917,1.86,34.18,-32.71622813
155,10N_brassica_13,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00075.asd.txt,040815brassi00075.asd,040815brassi00075.asd.sco,050815_10N_B13_.csv,76.20897522,12.2324,2.63,32.15,-32.65011616
156,10N_brassica_14,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00081.asd.txt,040815brassi00081.asd,040815brassi00081.asd.sco,050815_10N_B14_.csv,73.74410665,19.4817,1.89,36.85,-31.90573637
157,10N_brassica_15,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,10%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00087.asd.txt,040815brassi00087.asd,040815brassi00087.asd.sco,050815_10N_B15_.csv,72.79063014,12.3443,2.89,35.73,-32.18272104
158,1N_brassica_16,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,1%N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00093.asd.txt,040815brassi00093.asd,040815brassi00093.asd.sco,050815_10N_B16_.csv,71,10.5602,3.12,32.98,-32.75669949
159,Dvim_1,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00099.asd.txt,040815brassi00099.asd,040815brassi00099.asd.sco,050815_Dvim1_.csv,,,,,
160,Dvim_2,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00105.asd.txt,040815brassi00105.asd,040815brassi00105.asd.sco,060815_Dvim2_.csv,88.33333333,8.5876,4.39,37.66,-32.03654523
161,Dvim_3,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00111.asd.txt,040815brassi00111.asd,040815brassi00111.asd.sco,060815_Dvim3_.csv,85.84070796,6.7195,5.82,39.08,-32.94781384
162,Dvim_4,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00117.asd.txt,040815brassi00117.asd,040815brassi00117.asd.sco,060815_Dvim4_.csv,83.17107093,6.6085,6.06,40.03,-32.53939956
163,Dvim_5,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00123.asd.txt,040815brassi00123.asd,040815brassi00123.asd.sco,060815_Dvim5_.csv,89.27835052,7.2979,5.42,39.54,-30.57664657
164,Dvim_6,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00129.asd.txt,040815brassi00129.asd,040815brassi00129.asd.sco,060815_Dvim6_.csv,86.81438431,6.8402,6.02,41.16,-30.55164966
165,Dvim_7,Diplotaxis viminea,Wild,Sun,Mature,Pot,C3,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00135.asd.txt,040815brassi00135.asd,040815brassi00135.asd.sco,060815_Dvim7_.csv,85.66386555,5.6718,6.25,35.48,-31.95965811
166,Dmur_1,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00141.asd.txt,040815brassi00141.asd,040815brassi00141.asd.sco,060815_Dmur1_.csv,90.36734694,6.9405,5.74,39.82,-31.02198726
167,Dmur_2,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00147.asd.txt,040815brassi00147.asd,040815brassi00147.asd.sco,060815_Dmur2_.csv,90.83536091,9.783,4.03,39.4,-30.51106333
168,Dmur_3,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00153.asd.txt,040815brassi00153.asd,040815brassi00153.asd.sco,100815_Dmur3_.csv,92.7482679,7.5399,5.12,38.63,-30.3065263
169,Dmur_4,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00159.asd.txt,040815brassi00159.asd,040815brassi00159.asd.sco,100815_Dmur4_.csv,86.28746755,7.4777,5.33,39.88,-31.38738579
170,Dmur_5,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00165.asd.txt,040815brassi00165.asd,040815brassi00165.asd.sco,100815_Dmur5_.csv,79.69835285,11.0223,3.44,37.87,-30.80814284
171,Dmur_6,Diplotaxis muralis,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00171.asd.txt,040815brassi00171.asd,040815brassi00171.asd.sco,100815_Dmur6_.csv,88.38166511,9.4487,4.19,39.56,-29.75243415
172,Dten_1,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00177.asd.txt,040815brassi00177.asd,040815brassi00177.asd.sco,100815_Dten1_.csv,90.14173895,8.2406,4.49,36.99,-30.69530456
173,Dten_2,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00183.asd.txt,040815brassi00183.asd,040815brassi00183.asd.sco,100815_Dten2_.csv,86.56979304,11.5544,3.44,39.79,-30.5707992
174,Dten_3,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00189.asd.txt,040815brassi00189.asd,040815brassi00189.asd.sco,100815_Dten3_.csv,68.41097639,7.8423,4.46,34.99,-32.52108144
175,Dten_4,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00195.asd.txt,040815brassi00195.asd,040815brassi00195.asd.sco,100815_Dten4_.csv,88.93617021,11.923,3.27,39.03,-31.87361187
176,Dten_5,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00201.asd.txt,040815brassi00201.asd,040815brassi00201.asd.sco,100815_Dten5_.csv,89.08005119,8.8525,4,35.44,-31.30066184
177,Dten_6,Diplotaxis tenuifolia,Wild,Sun,Mature,Pot,C3-C4,control (100% N),greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00210.asd.txt,040815brassi00210.asd,040815brassi00210.asd.sco,110815_Dten6_.csv,92.19282584,12.0401,3.18,38.28,-31.89433999
178,30N_brassica1,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00216.asd.txt,040815brassi00216.asd,040815brassi00216.asd.sco,110815_30N_B1_.csv,78.72216279,8.2822,4.46,36.91,-32.9548789
179,30N_brassica2,Brassica oleracea,Agricultural,Sun,Mature,Pot,C3,30% N,greenhouse August 2015,Dusseldorf_BG_Greenhouse,040815brassi00222.asd.txt,040815brassi00222.asd,040815brassi00222.asd.sco,110815_30N_B2_.csv,67.08526107,7.7654,5.06,39.27,-32.53350248
